date,position,song,artist,popularity,duration_ms,album_type,total_tracks,is_explicit,album_cover_url,exclusion_reason
01-03-2025,1,Pyramide,Werenoi,78,208405,album,17,True,https://i.scdn.co/image/ab67616d0000b273cb7db70068e16007c996e736,"Duplicate (date, position) snapshot entry"
01-03-2025,2,Petit génie,Jungeli & Imen Es & Alonzo,84,217259,single,1,True,https://i.scdn.co/image/ab67616d0000b2737b6ae17633cbb6f9c1b5d4ac,"Duplicate (date, position) snapshot entry"
01-03-2025,3,Ceux qu'on était,Pierre Garnier,82,174106,single,1,False,https://i.scdn.co/image/ab67616d0000b27398855c34c214d3781bb3aafc,"Duplicate (date, position) snapshot entry"
01-03-2025,4,FLASHBACK,Favé,79,176120,album,15,True,https://i.scdn.co/image/ab67616d0000b273bed20ca2a508148c3f8cffd8,"Duplicate (date, position) snapshot entry"
01-03-2025,5,I love you,Dadju & Tayc,69,237866,album,16,False,https://i.scdn.co/image/ab67616d0000b273f0af4b473392e424af058137,"Duplicate (date, position) snapshot entry"
01-03-2025,6,Beautiful Things,Benson Boone,100,180304,single,1,False,https://i.scdn.co/image/ab67616d0000b273f2a919d3fa0f2b2593c92d19,"Duplicate (date, position) snapshot entry"
01-03-2025,7,MAMI WATA,Gazo & Tiakola,79,233240,album,12,True,https://i.scdn.co/image/ab67616d0000b2737dfe25eb478d69089abbaec1,"Duplicate (date, position) snapshot entry"
01-03-2025,8,Tu connais,Werenoi,74,169000,album,7,True,https://i.scdn.co/image/ab67616d0000b2737fed909b45d0c711e00ef715,"Duplicate (date, position) snapshot entry"
01-03-2025,9,Lose Control,Teddy Swims,94,210688,album,10,False,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,"Duplicate (date, position) snapshot entry"
01-03-2025,10,Si No Estás,iñigo quintero,93,184061,single,1,False,https://i.scdn.co/image/ab67616d0000b2735cb9531348f45311cd6fb8df,"Duplicate (date, position) snapshot entry"
01-03-2025,11,Maudit,Werenoi,73,197568,album,17,True,https://i.scdn.co/image/ab67616d0000b273cb7db70068e16007c996e736,"Duplicate (date, position) snapshot entry"
01-03-2025,12,Houdini,Dua Lipa,95,185917,single,1,False,https://i.scdn.co/image/ab67616d0000b273001d5706fddc72561f6488af,"Duplicate (date, position) snapshot entry"
01-03-2025,13,Laboratoire,Werenoi,78,162840,album,19,True,https://i.scdn.co/image/ab67616d0000b2739d74d3f0042968ea8f084acb,"Duplicate (date, position) snapshot entry"
01-03-2025,14,Casanova,Soolking & Gazo,84,189090,single,1,False,https://i.scdn.co/image/ab67616d0000b2735e90edde8fea572f0400c369,"Duplicate (date, position) snapshot entry"
01-03-2025,15,Temps en temps,Zola & Koba LaD,64,153649,album,15,True,https://i.scdn.co/image/ab67616d0000b273353d562215d48a6f5dbbeb45,"Duplicate (date, position) snapshot entry"
01-03-2025,16,greedy,Tate McRae,99,131872,single,1,True,https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8,"Duplicate (date, position) snapshot entry"
01-03-2025,17,Chemin d'or,Werenoi,78,212093,album,19,True,https://i.scdn.co/image/ab67616d0000b2739d74d3f0042968ea8f084acb,"Duplicate (date, position) snapshot entry"
01-03-2025,18,Dolce Camara,Booba,76,178401,album,10,True,https://i.scdn.co/image/ab67616d0000b27324b6493c8778514c3e275560,"Duplicate (date, position) snapshot entry"
01-03-2025,19,Popcorn Salé,SANTA,78,238653,single,1,False,https://i.scdn.co/image/ab67616d0000b273215b11af12f1cd353e81837d,"Duplicate (date, position) snapshot entry"
01-03-2025,20,Panama,Kaaris,78,225733,album,17,True,https://i.scdn.co/image/ab67616d0000b273320e2cbe61937f598b904ec4,"Duplicate (date, position) snapshot entry"
01-03-2025,21,Overdrive (feat. Norma Jean Martine),Ofenbach & Norma Jean Martine,89,155905,single,1,False,https://i.scdn.co/image/ab67616d0000b273249f764814d57dc5dfc462c7,"Duplicate (date, position) snapshot entry"
01-03-2025,22,16.02.2024,Werenoi,70,169128,album,17,True,https://i.scdn.co/image/ab67616d0000b273cb7db70068e16007c996e736,"Duplicate (date, position) snapshot entry"
01-03-2025,23,LAISSE MOI,KeBlack,79,168620,single,1,True,https://i.scdn.co/image/ab67616d0000b273ab5360bcfb07322f015687e1,"Duplicate (date, position) snapshot entry"
01-03-2025,24,Saiyan,Heuss L'enfoiré,74,189840,album,14,True,https://i.scdn.co/image/ab67616d0000b273e867057ecb11903ffe53224b,"Duplicate (date, position) snapshot entry"
01-03-2025,25,Dans un verre,Werenoi,73,177618,album,17,True,https://i.scdn.co/image/ab67616d0000b273cb7db70068e16007c996e736,"Duplicate (date, position) snapshot entry"
01-03-2025,26,TEXAS HOLD 'EM,Beyoncé,86,235636,single,3,True,https://i.scdn.co/image/ab67616d0000b2736c1836a40380c147eab9c98f,"Duplicate (date, position) snapshot entry"
01-03-2025,27,Parapluie,Jeck,76,176125,single,1,False,https://i.scdn.co/image/ab67616d0000b27375c37bf1155cbeec4cee9a65,"Duplicate (date, position) snapshot entry"
01-03-2025,28,When We Were Young (The Logical Song),David Guetta & Kim Petras,88,147432,single,2,False,https://i.scdn.co/image/ab67616d0000b273c8e153557024fd571a5a83d6,"Duplicate (date, position) snapshot entry"
01-03-2025,29,Bolide allemand,SDM,78,176746,album,15,True,https://i.scdn.co/image/ab67616d0000b273455e89dbf3ce2e6d337be1d0,"Duplicate (date, position) snapshot entry"
01-03-2025,30,Ça mène à rien,PLK,75,198773,album,11,True,https://i.scdn.co/image/ab67616d0000b2735f47f03829e4df052424712c,"Duplicate (date, position) snapshot entry"
01-03-2025,31,La League,Werenoi,76,173427,single,1,True,https://i.scdn.co/image/ab67616d0000b27348a9bc2fa970c5dd0484d642,"Duplicate (date, position) snapshot entry"
01-03-2025,32,Strangers,Kenya Grace,95,172964,single,1,False,https://i.scdn.co/image/ab67616d0000b2734756c2e9ae436437cd75e9f3,"Duplicate (date, position) snapshot entry"
01-03-2025,33,Is It Love,Loreen,81,143669,single,1,False,https://i.scdn.co/image/ab67616d0000b273a6d642f43edc9d64e0c0da03,"Duplicate (date, position) snapshot entry"
01-03-2025,34,Faut pas,PLK,74,138933,album,31,True,https://i.scdn.co/image/ab67616d0000b273478b7d68b5755066144886e5,"Duplicate (date, position) snapshot entry"
01-03-2025,35,LOCO,GIMS,61,161311,album,22,False,https://i.scdn.co/image/ab67616d0000b273e2c2b5235ed7d615ed6cb70a,"Duplicate (date, position) snapshot entry"
01-03-2025,36,Gimme Love,Sia,83,177921,single,1,False,https://i.scdn.co/image/ab67616d0000b2730df5de7712f0db14d84a4f7e,"Duplicate (date, position) snapshot entry"
01-03-2025,37,Aucune attache,KeBlack,73,161977,single,1,False,https://i.scdn.co/image/ab67616d0000b2734554f6ef4b73557ab553bc21,"Duplicate (date, position) snapshot entry"
